order_id,account_id,city,street,building,unit,postcode,family_token,order_date
ORD-0000001,ACC-000001,NORTH CITY,Cedar St. 1,Bldg-1,Apt ۱,PC 1 0001,FAM-00001,2025-02-25
ORD-0000002,ACC-000001,NORTH CITY,Cedar St. 1,Bldg-1,Apt ۱,PC 1 0001,FAM-00001,2025-12-16
ORD-0000003,ACC-000001,NORTH CITY,Cedar St. 1,Bldg-1,Apt ۱,PC 1 0001,FAM-00001,2025-06-02
ORD-0000004,ACC-000001,NORTH CITY,Cedar St. 1,Bldg-1,Apt ۱,PC 1 0001,FAM-00001,2025-06-26
ORD-0000005,ACC-000001,NORTH CITY,Cedar St. 1,Bldg-1,Apt ۱,PC 1 0001,FAM-00001,2025-06-20
ORD-0000006,ACC-000002,North City,Cedar Street 1,Building 1,Unit 1,PC-1-0001,FAM-00001,2025-09-02
ORD-0000007,ACC-000002,North City,Cedar Street 1,Building 1,Unit 1,PC-1-0001,FAM-00001,2025-06-29
ORD-0000008,ACC-000002,North City,Cedar Street 1,Building 1,Unit 1,PC-1-0001,FAM-00001,2025-06-11
ORD-0000009,ACC-000002,North City,Cedar Street 1,Building 1,Unit 1,PC-1-0001,FAM-00001,2025-12-09
ORD-0000010,ACC-000002,North City,Cedar Street 1,Building 1,Unit 1,PC-1-0001,FAM-00001,2025-02-28
ORD-0000011,ACC-000003,NORTH CITY,Cedar St. 1,Bldg-1,Apt ۲,PC 1 0001,FAM-00002,2025-11-07
ORD-0000012,ACC-000003,NORTH CITY,Cedar St. 1,Bldg-1,Apt ۲,PC 1 0001,FAM-00002,2025-06-10
ORD-0000013,ACC-000003,NORTH CITY,Cedar St. 1,Bldg-1,Apt ۲,PC 1 0001,FAM-00002,2025-04-14
ORD-0000014,ACC-000003,NORTH CITY,Cedar St. 1,Bldg-1,Apt ۲,PC 1 0001,FAM-00002,2025-01-08
ORD-0000015,ACC-000004,North City,Cedr St 1,B ۱,۲,,FAM-00002,2025-09-01
ORD-0000016,ACC-000004,North City,Cedr St 1,B ۱,۲,,FAM-00002,2025-09-03
ORD-0000017,ACC-000005,NORTH CITY,Cedar St. 1,Bldg-1,Apt ۳,PC 1 0001,FAM-X-000005,2025-09-23
ORD-0000018,ACC-000005,NORTH CITY,Cedar St. 1,Bldg-1,Apt ۳,PC 1 0001,FAM-X-000005,2025-12-09
ORD-0000019,ACC-000005,NORTH CITY,Cedar St. 1,Bldg-1,Apt ۳,PC 1 0001,FAM-X-000005,2025-10-08
ORD-0000020,ACC-000005,NORTH CITY,Cedar St. 1,Bldg-1,Apt ۳,PC 1 0001,FAM-X-000005,2025-04-28
ORD-0000021,ACC-000006,North City,Cedar Street 1,Building 1,Unit 4,PC-1-0001,FAM-00004,2025-07-19
ORD-0000022,ACC-000006,North City,Cedar Street 1,Building 1,Unit 4,PC-1-0001,FAM-00004,2025-05-16
ORD-0000023,ACC-000007,North City,Cedar S 1,B ۱,۴,PC10001,FAM-00004,2025-08-15
ORD-0000024,ACC-000007,North City,Cedar S 1,B ۱,۴,PC10001,FAM-00004,2025-07-07
ORD-0000025,ACC-000007,North City,Cedar S 1,B ۱,۴,PC10001,FAM-00004,2025-11-27
ORD-0000026,ACC-000008,North City,Cdar St 1,B ۱,,,FAM-00004,2025-12-29
ORD-0000027,ACC-000008,North City,Cdar St 1,B ۱,,,FAM-00004,2025-02-25
ORD-0000028,ACC-000008,North City,Cdar St 1,B ۱,,,FAM-00004,2025-11-22
ORD-0000029,ACC-000008,North City,Cdar St 1,B ۱,,,FAM-00004,2025-02-03
ORD-0000030,ACC-000008,North City,Cdar St 1,B ۱,,,FAM-00004,2025-10-01
ORD-0000031,ACC-000009,North City,edar St 1,B ۱,۴,,FAM-00004,2025-05-03
ORD-0000032,ACC-000009,North City,edar St 1,B ۱,۴,,FAM-00004,2025-08-30
ORD-0000033,ACC-000009,North City,edar St 1,B ۱,۴,,FAM-00004,2025-05-30
ORD-0000034,ACC-000009,North City,edar St 1,B ۱,۴,,FAM-00004,2025-05-17
ORD-0000035,ACC-000010,CENTRAL CITY,Maple St. 1,Bldg-2,Apt ۱,PC 2 0002,FAM-X-000010,2025-04-06
