account_id,city_norm,street_norm,building_norm,unit_norm,postcode_norm,family_token_norm,observed_orders,exact_address_key
ACC-000001,north city,cedar street 1,1,1,pc10001,fam 00001,5,north city|cedar street 1|1|1|pc10001
ACC-000002,north city,cedar street 1,1,1,pc10001,fam 00001,5,north city|cedar street 1|1|1|pc10001
ACC-000003,north city,cedar street 1,1,2,pc10001,fam 00002,4,north city|cedar street 1|1|2|pc10001
ACC-000004,north city,cedr street 1,1,2,,fam 00002,2,north city|cedr street 1|1|2|
ACC-000005,north city,cedar street 1,1,3,pc10001,fam x 000005,4,north city|cedar street 1|1|3|pc10001
ACC-000006,north city,cedar street 1,1,4,pc10001,fam 00004,2,north city|cedar street 1|1|4|pc10001
ACC-000007,north city,cedar s 1,1,4,pc10001,fam 00004,3,north city|cedar s 1|1|4|pc10001
ACC-000008,north city,cdar street 1,1,,,fam 00004,5,north city|cdar street 1|1||
ACC-000009,north city,edar street 1,1,4,,fam 00004,4,north city|edar street 1|1|4|
ACC-000010,central city,maple street 1,2,1,pc20002,fam x 000010,3,central city|maple street 1|2|1|pc20002
ACC-000011,central city,maple street 1,2,2,pc20002,fam x 000011,2,central city|maple street 1|2|2|pc20002
ACC-000012,central city,maple street 1,2,3,pc20002,fam x 000012,2,central city|maple street 1|2|3|pc20002
ACC-000013,central city,maple street 1,2,4,pc20002,fam x 000013,5,central city|maple street 1|2|4|pc20002
ACC-000014,south city,willow street 1,3,1,pc30003,fam x 000014,2,south city|willow street 1|3|1|pc30003
ACC-000015,south city,willow street 1,3,2,pc30003,fam 00010,2,south city|willow street 1|3|2|pc30003
ACC-000016,south city,willow street 1,3,2,pc30003,fam 00010,2,south city|willow street 1|3|2|pc30003
ACC-000017,south city,willow street 1,3,3,pc30003,fam x 000017,4,south city|willow street 1|3|3|pc30003
ACC-000018,south city,willow street 1,3,4,pc30003,fam x 000018,4,south city|willow street 1|3|4|pc30003
ACC-000019,north city,oak street 1,4,1,pc10004,fam 00013,3,north city|oak street 1|4|1|pc10004
ACC-000020,north city,oak street 1,4,1,pc10004,fam x 000020,2,north city|oak street 1|4|1|pc10004
ACC-000021,north city,oa street 1,4,1,pc10004,fam 00013,3,north city|oa street 1|4|1|pc10004
ACC-000022,north city,oak s 1,4,2,,fam 00013,5,north city|oak s 1|4|2|
ACC-000023,north city,oak street 1,4,2,pc10004,fam x 000023,2,north city|oak street 1|4|2|pc10004
ACC-000024,north city,oak street 1,4,3,pc10004,fam 00015,5,north city|oak street 1|4|3|pc10004
ACC-000025,north city,oak street 1,4,3,pc10004,fam 00015,2,north city|oak street 1|4|3|pc10004
ACC-000026,north city,oak street 1,4,4,pc10004,fam x 000026,5,north city|oak street 1|4|4|pc10004
ACC-000027,central city,pine street 1,5,1,pc20005,fam x 000027,4,central city|pine street 1|5|1|pc20005
ACC-000028,central city,pine street 1,5,2,pc20005,fam x 000028,2,central city|pine street 1|5|2|pc20005
ACC-000029,central city,pine street 1,5,3,pc20005,fam x 000029,5,central city|pine street 1|5|3|pc20005
ACC-000030,central city,pine street 1,5,4,pc20005,fam x 000030,5,central city|pine street 1|5|4|pc20005
ACC-000031,south city,elm street 1,6,1,pc30006,fam x 000031,2,south city|elm street 1|6|1|pc30006
ACC-000032,south city,el street 1,6,,pc30006,fam x 000032,4,south city|el street 1|6||pc30006
ACC-000033,south city,elm s 1,6,3,,fam x 000033,4,south city|elm s 1|6|3|
ACC-000034,south city,elm street 1,6,3,pc30006,fam x 000034,4,south city|elm street 1|6|3|pc30006
ACC-000035,south city,elm street 1,6,3,pc30006,fam x 000035,4,south city|elm street 1|6|3|pc30006
ACC-000036,south city,elm street 1,6,3,pc30006,fam x 000036,2,south city|elm street 1|6|3|pc30006
ACC-000037,south city,elm street 1,6,3,pc30006,fam x 000037,3,south city|elm street 1|6|3|pc30006
